timestamp,zone_id,temperature,humidity,co2,smoke_status,raw_smoke_value,energy_consumption,expected_label,scenario_id
2026-05-09T12:00:00Z,DNTU_ROOM_A101,23.03,58.93,386.7,0,30.53,30.89,normal,SCN_NORMAL_001
2026-05-09T12:05:00Z,DNTU_ROOM_A101,23.09,59.95,380.89,0,27.11,26.75,normal,SCN_NORMAL_002
2026-05-09T12:10:00Z,DNTU_ROOM_A101,23.36,60.45,449.02,0,34.45,35.67,normal,SCN_NORMAL_003
2026-05-09T12:15:00Z,DNTU_ROOM_A101,23.01,62.64,400.94,0,20.11,27.72,normal,SCN_NORMAL_004
2026-05-09T12:20:00Z,DNTU_ROOM_A101,23.34,57.65,382.9,0,29.07,31.78,normal,SCN_NORMAL_005
2026-05-09T12:25:00Z,DNTU_ROOM_A101,23.73,60.75,409.19,0,28.04,28.03,normal,SCN_NORMAL_006
2026-05-09T12:30:00Z,DNTU_ROOM_A101,23.62,63.03,397.32,0,17.92,30.64,normal,SCN_NORMAL_007
2026-05-09T12:35:00Z,DNTU_ROOM_A101,23.74,47.34,403.75,0,24.17,28.26,normal,SCN_NORMAL_008
2026-05-09T12:40:00Z,DNTU_ROOM_A101,23.36,59.59,386.29,0,35.73,27.14,normal,SCN_NORMAL_009
2026-05-09T12:45:00Z,DNTU_ROOM_A101,23.61,58.2,401.87,0,24.59,26.31,normal,SCN_NORMAL_010
2026-05-09T12:50:00Z,DNTU_ROOM_A101,23.64,60.9,400.54,0,32.52,31.74,normal,SCN_NORMAL_011
2026-05-09T12:55:00Z,DNTU_ROOM_A101,22.64,52.76,408.82,0,46.12,35.08,normal,SCN_NORMAL_012
2026-05-09T13:00:00Z,DNTU_ROOM_A101,23.31,61.59,391.87,0,26.18,32.32,normal,SCN_NORMAL_013
2026-05-09T13:05:00Z,DNTU_ROOM_A101,23.56,58.41,408.1,0,44.63,58.24,normal,SCN_NORMAL_014
2026-05-09T13:10:00Z,DNTU_ROOM_A101,23.22,63.98,395.29,0,17.94,25.73,normal,SCN_NORMAL_015
2026-05-09T13:15:00Z,DNTU_ROOM_A101,25.2,63.72,431.21,0,27.59,25.94,normal,SCN_NORMAL_016
2026-05-09T13:20:00Z,DNTU_ROOM_A101,23.53,63.8,405.82,0,31.41,25.09,normal,SCN_NORMAL_017
2026-05-09T13:25:00Z,DNTU_ROOM_A101,23.54,58.87,399.23,0,25.7,25.89,normal,SCN_NORMAL_018
2026-05-09T13:30:00Z,DNTU_ROOM_A101,23.95,63.13,387.9,0,20.57,29.0,normal,SCN_NORMAL_019
2026-05-09T13:35:00Z,DNTU_ROOM_A101,23.87,59.09,399.17,0,20.06,29.87,normal,SCN_NORMAL_020
2026-05-09T13:40:00Z,DNTU_ROOM_A101,23.54,62.45,395.91,0,23.48,25.0,normal,SCN_NORMAL_021
2026-05-09T13:45:00Z,DNTU_ROOM_A101,26.5,65.71,490.59,0,16.91,41.07,normal,SCN_NORMAL_022
2026-05-09T13:50:00Z,DNTU_ROOM_A101,23.95,57.6,394.58,0,32.21,25.55,normal,SCN_NORMAL_023
2026-05-09T13:55:00Z,DNTU_ROOM_A101,23.13,60.33,396.49,0,34.45,27.12,normal,SCN_NORMAL_024
2026-05-09T14:00:00Z,DNTU_ROOM_A101,23.21,60.78,401.9,0,23.23,26.61,normal,SCN_NORMAL_025
2026-05-09T14:05:00Z,DNTU_ROOM_A101,23.65,60.07,395.53,0,21.49,25.97,normal,SCN_NORMAL_026
2026-05-09T14:10:00Z,DNTU_ROOM_A101,25.03,50.79,401.93,0,35.83,26.4,normal,SCN_NORMAL_027
2026-05-09T14:15:00Z,DNTU_ROOM_A101,26.39,65.27,380.27,0,37.08,36.76,normal,SCN_NORMAL_028
2026-05-09T14:20:00Z,DNTU_ROOM_A101,23.07,67.02,452.8,0,40.89,51.31,normal,SCN_NORMAL_029
